知道 zhidao
福建 fujian
曾经 zengjing
曾经 cengjing
大海 dahai
大海 daihai
曾经沧海难为水 zengjingcanghainanweishui
曾经沧海难为水 cengjingcanghainanweishui
那一刻 nayike
Python Python
江苏 jiangsu
北京 beijing
伤害 shanghai
上海 shanghai
大连 dalian
大连 dailian
黑龙江 heilongjiang
百度 baidu
谷歌 guge
骨骼 guge
痛苦 tongku
振翅高飞 zhenchigaofei
编程 biancheng
Java Java
Jquery Jquery
Css Css
风声 fengsheng
c c
zhi zhi
词库 ciku
福建杀人 fujiansharen
刘海亮 liuhailiang
刘海 liuhai
命运 mingyun
放弃 fangqi
赠言 zengyan
憎恨 zenghen
整洁 zhengjie
瘦削 shouxiao
腻歪 niwai
叫座 jiaozuo
显豁 xianhuo
简洁 jianjie
心焦 xinjiao
娴静 xianjing
肤浅 fuqian
安静 anjing
守时 shoushi
素洁 sujie
幽静 youjing
稀朗 xilang
可意 keyi
模棱 moleng
模棱 muleng
畅快 changkuai
蒙昧 mengmei
僻静 pijing
紧凑 jincou
惨毒 candu
合意 heyi
清平 qingping
醇和 chunhe
内倾 neiqing
静雅 jingya
承平 chengping
联贯 lianguan
可恶 kee
阴晦 yinhui
慧黠 huixia
安宁 anning
隐晦 yinhui
枯焦 kujiao
不周延 buzhouyan
惬意 qieyi
危急 weiji
雄厚 xionghou
恬静 tianjing
雄奇 xiongqi
倔犟 juejiang
文静 wenjing
称意 chengyi
称意 chenyi
散碎 sansui
拗口 aokou
拗口 nivkou
好色 haose
狡黠 jiaoxia
贤惠 xianhui
细碎 xisui
宽畅 kuanchang
顽劣 wanlie
省时 shengshi
省时 xingshi
值钱 zhiqian
琐碎 suosui
上劲 shangjin
显著 xianzhu
遥远 yaoyuan
邃远 suiyuan
清芬 qingfen
偏心眼儿 pianxinyaner
驳杂 boza
详明 xiangming
伟大 weida
迂曲 yuqu
投缘 touyuan
新雅 xinya
溷浊 hunzhuo
丽质 lizhi
对劲 duijin
亢奋 kangfen
流畅 liuchang
聪明 congming
心酸 xinsuan
带劲 daijin
妥贴 tuotie
老迈 laomai
强劲 qiangjin
强劲 jiangjin
黏糊 nianhu
得劲 dejin
有钱 youqian
凄恻 qice
差劲 chajin
宏大 hongda
穷苦 qiongku
刚劲 gangjin
明畅 mingchang
卖劲 maijin
急要 jiyao
悬乎 xuanhu
劳倦 laojuan
强大 qiangda
强大 jiangda
呆板 daiban
寡言 guayan
巨大 juda
稀里马虎 xilimahu
疲困 pikun
秽浊 huizhuo
呆傻 daisha
逼真 bizhen
辛辣 xinla
贫苦 pinku
艰苦 jianku
玄乎 xuanhu
香甜 xiangtian
没劲 meijin
妖媚 yaomei
蓬松 pengsong
热乎 rehu
清脆 qingcui
面熟 mianshu
